Meter Number,Address,Street Number,Street Name,Suburb,Municipality,Provice
4504504500,Bulding 1,100,Church,Katlehong,Ekurhuleni,Gauteng
4504504510,Bulding 2,105,Church,Kempton Park,Ekurhuleni,Gauteng
4504504520,Bulding 3,110,Church,Kwa-Thema,Ekurhuleni,Gauteng
4504504530,Bulding 4,115,Church,Nigel,Ekurhuleni,Gauteng
4504504540,Bulding 5,120,Church,Primrose,Ekurhuleni,Gauteng
4504504550,Bulding 6,125,Church,Springs,Ekurhuleni,Gauteng
4504504560,Bulding 7,130,Church,Tembisa,Ekurhuleni,Gauteng
4504504570,Bulding 8,135,Church,Thokoza,Ekurhuleni,Gauteng
4504504580,Bulding 9,140,Church,Tsakane,Ekurhuleni,Gauteng
4504504590,Bulding 10,145,Church,Vosloorus,Ekurhuleni,Gauteng
